Project,Client,Description,Duration
SOS2122-12,,#1 Hace L02,00:00:53
SOS2122-12,,#1 Registrar información en el repositorio comun,00:49:31
SOS2122-12,,#2 Clonación repositorio,00:01:02
SOS2122-12,,#3 La(s) issue(s) debe estar en estado cerrado antes de la sesión de feedback.,21:46:00
SOS2122-12,,"#5 carpeta public, readme, cool, heroku",03:02:00
SOS2122-12,,#7 Explicación de la API,03:10:58
SOS2122-12,,#8 Documento Google Docs,03:08:00
SOS2122-12,,#9 Explicación API,03:44:00
SOS2122-12,,D03,14:00:00
,,#6 Tareas a realizar para la sesión F03,03:14:00
,,SOS2021-12-Planificación,00:30:17
